platform,gpu_name,variant,decoder,bp_method,decode_path,code,distance,rounds,physical_error_probability,shots,warmup,repeats,median_ms,min_ms,max_ms,syndromes_per_second,raw_logical_errors,decoded_logical_errors,raw_logical_error_rate,decoded_logical_error_rate,logical_error_reduction_vs_raw,speedup_vs_lut,logical_error_ratio_vs_lut
brev_l4,NVIDIA L4,LUT,single_error_lut,,decode_batch,surface_code,3,3,0.001,2000,2,5,3.9283690002775984,3.847346000839025,4.748002998894663,509117.1424727845,23,11,0.0115,0.0055,2.090909090909091,1.0,1.0
brev_l4,NVIDIA L4,BP=0,nv-qldpc-decoder,0,decode_batch,surface_code,3,3,0.001,2000,2,5,4.696983000030741,4.106727999896975,5.349565999495098,425805.24561977555,23,11,0.0115,0.0055,2.090909090909091,0.8363600635241575,1.0
brev_l4,NVIDIA L4,LUT,single_error_lut,,decode_batch,surface_code,5,5,0.001,2000,2,5,13.450021999233286,12.662929999351036,14.886850998664158,148698.64154229706,83,35,0.0415,0.0175,2.3714285714285714,1.0,1.0
brev_l4,NVIDIA L4,BP=0,nv-qldpc-decoder,0,decode_batch,surface_code,5,5,0.001,2000,2,5,19.87066099900403,19.046031000470975,21.709500999349984,100650.90437103453,83,27,0.0415,0.0135,3.074074074074074,0.6768784390165701,0.7714285714285714
brev_l4,NVIDIA L4,LUT,single_error_lut,,decode_batch,surface_code,7,7,0.001,2000,2,5,35.83393499866361,34.215678000691696,38.58117999880051,55813.016350969774,149,108,0.0745,0.054,1.3796296296296295,1.0,1.0
brev_l4,NVIDIA L4,BP=0,nv-qldpc-decoder,0,decode_batch,surface_code,7,7,0.001,2000,2,5,55.97293499886291,54.925555999943754,59.85902099928353,35731.55490310862,149,31,0.0745,0.0155,4.806451612903226,0.6402011078995871,0.28703703703703703
brev_l4,NVIDIA L4,LUT,single_error_lut,,decode_batch,surface_code,9,9,0.001,2000,2,5,73.31940699987172,72.06981600029394,73.39373699869611,27277.907471394297,244,224,0.122,0.112,1.0892857142857142,1.0,1.0
brev_l4,NVIDIA L4,BP=0,nv-qldpc-decoder,0,decode_batch,surface_code,9,9,0.001,2000,2,5,132.51030999890645,132.26037899949006,133.04636200155073,15093.165203647211,244,48,0.122,0.024,5.083333333333333,0.5533109612412558,0.21428571428571427
brev_l4,NVIDIA L4,LUT,single_error_lut,,decode_batch,surface_code,11,11,0.001,2000,2,5,131.0179119991517,129.64048300091235,132.3238439999841,15265.088333974896,325,315,0.1625,0.1575,1.0317460317460319,1.0,1.0
brev_l4,NVIDIA L4,BP=0,nv-qldpc-decoder,0,decode_batch,surface_code,11,11,0.001,2000,2,5,270.5775859994901,269.6126690007077,271.6595509991748,7391.595252105505,325,64,0.1625,0.032,5.078125,0.48421568813685323,0.20317460317460317
